Swarm number,Date_M,Time_M,Lat_M,Lon_M,Lat_S,Lat_E,Lon_S,Lon_E,Depth,Length,Thickness,Sv_mean120,TS,ind m-3,surfpar,BDepth,fluo,ADCP w in swarm,ADCP w above midpoint,mask above swarm,ADCP w below swarm,mask below swarm,w in minus out,mid-depth ADCP bin,,,,,,
46,1/9/2003,4:41:52,-57.003,-56.02629574,-57.00323,-57.00381,-56.02636329,-56.02622046,90.340505,54.18829,4.064714,-67.664984,-74.63720476,4.979916669,-1.165981067,-3373,NaN,6.542,5.435,0,8.957,0,-0.654,10,,,,,,
47,1/9/2003,4:44:42,-57.013,-56.02419307,-57.01241,-57.01268,-56.02422896,-56.02415721,41.254947,29.462212,2.949472,-69.647083,-74.63720476,3.155093076,-1.234568133,-3373,NaN,5.334,3.422,0,5.334,0,0.956,4,,,,,,
48,1/9/2003,5:06:04,-57.078,-56.0103964,-57.07787,-57.07839,-56.01041513,-56.01031487,38.267357,56.478154,3.507093,-62.715712,-74.63720476,15.5650054,-1.234568133,-3750,NaN,12.178,5.535,0,12.077,0,3.372,4,,,,,,
49,1/9/2003,5:06:37,-57.080,-56.01008257,-57.07974,-57.08000,-56.01009372,-56.01006051,38.609575,27.617465,2.205978,-64.770947,-74.63720476,9.696740549,-1.220850733,-3750,NaN,12.178,5.535,0,12.077,0,3.372,4,,,,,,
50,1/9/2003,5:08:25,-57.085,-56.00894484,-57.08527,-57.08558,-56.00898211,-56.00892228,49.106669,31.074498,4.808208,-64.011638,-74.63720476,11.54932694,-1.220850733,-3750,NaN,-0.503,5.334,0,4.630,0,-5.485,5,,,,,,
51,1/9/2003,5:21:14,-57.125,-55.99783964,-57.12506,-57.12569,-55.99792071,-55.99775742,47.875543,66.59276,3.321219,-64.123408,-74.63720476,11.25588573,-1.248285533,-3565,NaN,8.153,NaN,1,9.864,0,-1.711,5,,,,,,
52,1/9/2003,5:22:03,-57.128,-55.99710283,-57.12755,-57.12833,-55.99720079,-55.99697504,46.828957,83.718695,7.782186,-60.716509,-74.63720476,24.66434437,-1.262002933,-3565,NaN,8.153,4.932,0,9.864,0,0.755,5,,,,,,
53,1/9/2003,5:22:23,-57.129,-55.99681761,-57.12884,-57.12905,-55.99682945,-55.99681066,44.809251,19.091048,7.596312,-61.217332,-74.63720476,21.97795478,-1.262002933,-3565,NaN,7.448,4.932,0,9.864,0,0.050,4,,,,,,
62,1/9/2003,5:37:34,-57.175,-55.98341013,-57.17543,-57.17557,-55.98343138,-55.98335043,114.962825,23.031107,1.462483,-67.616349,-74.63720476,5.035998309,-1.1385462,-3569,NaN,4.530,8.556,0,8.657,0,-4.077,13,,,,,,
63,1/9/2003,5:44:02,-57.195,-55.97799774,-57.19518,-57.19543,-55.97800597,-55.97795267,33.013383,26.698166,5.551703,-58.403472,-74.63720476,42.01199214,-1.1248288,-3693.5,NaN,-0.503,0.000,0,NaN,1,-0.503,3,,,,,,
65,1/9/2003,5:44:39,-57.197,-55.97748276,-57.19702,-57.19733,-55.97756789,-55.97744527,52.155618,31.242737,5.551703,-63.85671,-74.63720476,11.96876874,-1.1248288,-3693.5,NaN,12.180,NaN,1,22.346,0,-10.167,5,,,,,,
66,1/9/2003,5:45:09,-57.199,-55.9770847,-57.19860,-57.19885,-55.97709862,-55.97704279,52.874519,24.020805,5.551703,-63.644719,-74.63720476,12.56749079,-1.1248288,-3693.5,NaN,2.819,NaN,1,1.208,0,1.611,5,,,,,,
67,1/9/2003,5:46:08,-57.202,-55.97622895,-57.20153,-57.20193,-55.97627175,-55.97616136,46.412639,42.477179,4.622335,-64.275706,-74.63720476,10.86800615,-1.1248288,-3693.5,NaN,2.819,-1.107,0,NaN,1,3.926,5,,,,,,
68,1/9/2003,5:47:52,-57.207,-55.97476188,-57.20688,-57.20718,-55.97480747,-55.9747096,64.362545,26.817248,7.224565,-63.677773,-74.63720476,12.47220313,-1.1385462,-3693.5,NaN,5.738,5.335,0,5.637,0,0.252,7,,,,,,
69,1/9/2003,5:49:03,-57.211,-55.97378235,-57.21043,-57.21084,-55.97381786,-55.97371344,61.524164,39.910513,3.321219,-64.138963,-74.63720476,11.21564296,-1.1248288,-3693.5,NaN,10.469,3.423,0,7.952,0,4.781,6,,,,,,
70,1/9/2003,6:04:20,-57.255,-55.96107457,-57.25539,-57.25555,-55.96107817,-55.96106409,17.695381,18.982266,9.640922,-62.484462,-74.63720476,16.41626203,-1.111111333,-3919,NaN,3.825,NaN,NaN,8.255,0,-4.430,1,,,,,,
71,1/9/2003,6:44:44,-57.376,-55.92913619,-57.37550,-57.37570,-55.92917261,-55.92910589,103.024021,28.637836,3.321219,-52.610185,-74.63720476,159.4784388,0.836762733,-3769,0.0851138,10.873,11.578,0,10.773,0,-0.302,12,,,,,,
72,1/9/2003,6:56:58,-57.412,-55.91786234,-57.41210,-57.41240,-55.91790117,-55.9178134,205.804782,29.074958,1.462483,-67.755658,-74.63720476,4.877021561,5.240055,-3834,0.0794328,7.954,6.544,0,8.759,0,0.302,24,,,,,,
73,1/9/2003,7:26:53,-57.498,-55.89112842,-57.49816,-57.49843,-55.89117863,-55.89108377,45.01487,26.219577,4.808208,-54.551678,-74.63720476,101.9888455,23.01783067,-3847,0.0767362,4.330,3.827,0,7.150,0,-1.158,4,,,,,,
74,1/9/2003,7:28:41,-57.503,-55.8895173,-57.50316,-57.50364,-55.88957779,-55.8894201,46.907573,49.77774,8.153933,-58.498429,-74.63720476,41.10338373,24.5679,-3847,0.0767362,6.949,3.021,0,9.265,0,0.806,5,,,,,,
75,1/9/2003,7:51:41,-57.571,-55.86889885,-57.57094,-57.57104,-55.86890914,-55.86888392,28.124535,11.667874,10.942037,-62.991675,-74.63720476,14.60672913,37.791496,-3636,NaN,7.050,7.251,0,9.870,0,-1.511,2,,,,,,
76,1/9/2003,8:13:54,-57.636,-55.8512897,-57.63614,-57.63628,-55.85130763,-55.85124334,88.288533,22.384109,4.808208,-57.486444,-74.63720476,51.88909253,74.29355267,-3746,NaN,8.260,4.331,0,12.188,0,0.000,10,,,,,,
77,1/9/2003,8:25:00,-57.669,-55.84155014,-57.66899,-57.66924,-55.8416029,-55.8415081,28.465368,26.838351,11.127911,-57.832072,-74.63720476,47.91961008,91.330594,-3838,NaN,2.821,NaN,0,1.914,0,0.907,2,,,,,,
78,1/9/2003,8:34:46,-57.697,-55.83262468,-57.69715,-57.69764,-55.8326909,-55.83252519,264.662893,61.419581,7.596312,-64.387936,-74.63720476,10.59075388,111.5912267,-3938,NaN,14.709,17.328,0,13.299,0,-0.605,32,,,,,,
79,1/9/2003,8:48:47,-57.738,-55.81950324,-57.73818,-57.73837,-55.81953732,-55.81947366,24.68705,20.781682,5.179955,-49.262004,-74.63720476,344.7625431,108.491082,-3942,NaN,5.542,NaN,0,2.821,0,2.720,2,,,,,,
80,1/9/2003,8:52:30,-57.749,-55.81616917,-57.74880,-57.74894,-55.81617607,-55.81615005,28.852521,14.526714,8.153933,-59.230004,-74.63720476,34.73122292,119.903982,-3966,NaN,2.217,5.441,0,7.154,0,-4.081,2,,,,,,
81,1/9/2003,8:52:57,-57.750,-55.81578192,-57.75008,-57.75022,-55.81579994,-55.81575264,30.423697,15.182756,1.648357,-62.232793,-74.63720476,17.39567061,123.9231887,-3966,NaN,-0.504,5.441,0,7.154,0,-6.801,3,,,,,,
83,1/9/2003,8:55:55,-57.759,-55.81347514,-57.75853,-57.75876,-55.81350458,-55.81344808,25.977789,26.66822,7.410439,-64.858474,-74.63720476,9.503270159,135.1989087,-3966,NaN,1.914,NaN,1,1.914,0,0.000,2,,,,,,
84,1/9/2003,9:05:09,-57.785,-55.80652929,-57.78501,-57.78529,-55.80655433,-55.80650567,20.865468,32.680444,7.224565,-59.028678,-74.63720476,36.37916072,190.0685867,-3963,NaN,3.628,NaN,NaN,4.534,0,-0.907,1,,,,,,
85,1/9/2003,9:05:26,-57.786,-55.80630606,-57.78591,-57.78605,-55.80632903,-55.80626821,22.089611,17.484622,6.295197,-60.828942,-74.63720476,24.0340121,190.0685867,-3963,NaN,-1.310,NaN,NaN,4.534,0,-5.844,2,,,,,,
86,1/9/2003,9:06:36,-57.789,-55.80539503,-57.78911,-57.78924,-55.8054164,-55.80537366,23.8228,15.173633,4.808208,-65.175554,-74.63720476,8.834156234,204.43072,-3963,NaN,-1.310,NaN,NaN,4.534,0,-5.844,2,,,,,,
87,1/9/2003,9:10:12,-57.799,-55.80271409,-57.79873,-57.79900,-55.80278904,-55.80268566,45.398762,25.91698,6.295197,-54.247793,-74.63720476,109.3808202,225.9807933,-3963,NaN,2.822,3.930,0,9.473,0,-3.880,4,,,,,,
88,1/9/2003,9:16:24,-57.817,-55.79819289,-57.81727,-57.81737,-55.79821447,-55.7981766,73.226766,17.160509,5.737576,-64.203291,-74.63720476,11.05074037,290.7681733,-3886,NaN,6.450,6.046,0,4.434,0,1.209,8,,,,,,
89,1/9/2003,9:17:27,-57.820,-55.79741765,-57.82043,-57.82059,-55.79742003,-55.79738744,36.311737,16.027452,3.135346,-66.690543,-74.63720476,6.232555802,301.15226,-3886,NaN,3.326,0.403,0,1.109,0,2.570,3,,,,,,
